action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;10.729993;-19.898674;199.197461;1.000000;1.000000
0;1;1;79.148239;96.847244;37238.853935;-1.000000;-1.000000
0;1;2;-50.515259;-62.534431;15332.023835;1.000000;1.000000
0;1;3;-57.772099;-98.568001;27779.842030;1.000000;1.000000
0;1;4;68.601334;-62.402607;4744.567186;0.245095;1.000000
0;1;5;9.544728;63.843735;5476.968342;-1.000000;-1.000000
0;1;6;20.849064;81.130714;10834.558644;1.000000;-1.000000
0;1;7;22.058954;-62.046516;2085.602591;-1.000000;1.000000
0;1;8;50.795647;23.188892;8053.909736;-1.000000;-1.000000
0;1;9;21.112362;15.344217;1774.813993;-1.000000;-1.000000
0;1;10;81.981400;-64.175247;7038.008931;-1.000000;1.000000
0;1;11;-81.358093;41.600269;8199.823904;-1.000000;-1.000000
0;1;12;-72.848747;-63.045578;23774.207613;1.000000;1.000000
0;1;13;74.836823;-41.610889;6704.512632;-1.000000;-1.000000
0;1;14;57.551262;32.416462;11406.339081;-1.000000;-1.000000
0;1;15;-1.413727;-20.607697;486.941704;-1.000000;-1.000000
0;1;16;64.649773;-94.072586;5045.295052;-1.000000;1.000000
0;1;17;97.529243;-7.904309;17544.582161;-1.000000;1.000000
0;1;18;-55.465191;25.478148;3975.610171;-1.000000;-1.000000
0;1;19;-11.725145;-76.180824;7864.938528;1.000000;-1.000000
0;1;20;18.194275;-75.671112;3634.618449;1.000000;-1.000000
0;1;21;91.824829;-51.869305;10028.243173;-1.000000;0.862456
0;1;22;22.468319;-41.978527;885.473577;1.000000;1.000000
0;1;23;66.926094;46.953083;17447.569041;-1.000000;-1.000000
0;1;24;-15.344542;-79.679382;9265.001064;1.000000;1.000000
0;1;25;-65.917107;-58.366848;19791.566322;1.000000;-1.000000
0;1;26;66.242271;68.310318;22492.437842;-1.000000;-1.000000
0;1;27;28.006308;-75.361382;3026.856292;-1.000000;-0.945246
0;1;28;38.581066;62.247082;11654.814070;-0.793544;-1.000000
0;1;29;-5.795481;-94.257477;10044.182009;1.000000;1.000000
0;1;30;-41.632877;56.475040;1953.586281;1.000000;-1.000000
0;1;31;-5.731248;-65.450485;5099.686334;1.000000;1.000000
0;1;32;78.565704;-77.596199;6173.509840;-1.000000;1.000000
0;1;33;72.136551;-49.291012;5725.600633;-1.000000;1.000000
0;1;34;51.954426;16.646313;7405.323688;-1.000000;-1.000000
0;1;35;0.372148;-22.636679;495.847840;-1.000000;-0.166177
0;1;36;88.222557;-58.414616;8671.732948;-1.000000;1.000000
0;1;37;18.705288;-25.036020;389.965969;-1.000000;1.000000
0;1;38;-88.654297;-51.037991;27373.519526;1.000000;1.000000
0;1;39;-36.691441;-78.691116;14659.396252;1.000000;-0.713686
0;1;40;34.207127;81.396225;14534.262411;-1.000000;-1.000000
0;1;41;22.209286;6.751280;1331.966731;-1.000000;-1.000000
0;1;42;46.284172;-26.149502;2547.629529;-1.000000;1.000000
0;1;43;-53.983334;-32.762592;10439.055966;1.000000;1.000000
0;1;44;-0.318386;-65.863113;4380.092196;1.000000;1.000000
0;1;45;-52.700752;-63.489521;16277.548895;-1.000000;-1.000000
0;1;46;-21.080271;-67.088501;8218.110126;-1.000000;1.000000
0;1;47;-13.040154;-19.993914;1261.295284;-1.000000;1.000000
0;1;48;20.852093;81.833069;10979.052183;-1.000000;0.891777
0;2;0;11.459837;-19.168831;190.756450;0.729844;0.729844
0;2;1;78.148239;95.847244;36381.575523;-1.000000;-1.000000
0;2;2;-49.515259;-61.534431;14783.794557;1.000000;1.000000
0;2;3;-56.772099;-97.568001;27043.937435;1.000000;1.000000
0;2;4;68.418434;-63.370899;4706.559740;-0.182901;-0.968291
0;2;5;8.544728;62.843735;5169.325034;-1.000000;-1.000000
0;2;6;19.849064;80.130714;10389.941404;-1.000000;-1.000000
0;2;7;21.058954;-61.046516;2042.484683;-1.000000;1.000000
0;2;8;49.795647;22.188892;7661.380287;-1.000000;-1.000000
0;2;9;20.382519;14.614373;1640.229519;-0.729844;-0.729844
0;2;10;80.981400;-63.175247;6875.046132;-1.000000;1.000000
0;2;11;-80.358093;40.600269;8038.107717;1.000000;-1.000000
0;2;12;-71.848747;-62.045578;23089.932818;1.000000;1.000000
0;2;13;73.836823;-42.610889;6426.935255;-1.000000;-1.000000
0;2;14;56.551262;31.416462;10936.365661;-1.000000;-1.000000
0;2;15;-1.051640;-19.774250;434.823644;0.362087;0.833447
